"Course Code","Department","Course Level","Possible Full Name"
"ACC-202","Accounting","Intermediate","Managerial Accounting"
"BUS-101","Business Admin","Introductory","Introduction to Business Administration"
"BUS-310","Business Admin","Advanced","Operations Management"
"BUS-400","Business Admin","Advanced","Corporate Strategy and Policy"
"CHM-101","Chemistry","Introductory","General Chemistry I"
"CHM-250","Chemistry","Intermediate","Organic Chemistry I"
"CSC-101","Computer Science","Introductory","Introduction to Programming"
"CSC-250","Computer Science","Intermediate","Data Structures and Algorithms"
"CSC-310","Computer Science","Advanced","Database Systems"
"ECO-101","Economics","Introductory","Principles of Microeconomics"
"ECO-220","Economics","Intermediate","Intermediate Macroeconomics"
"FIN-210","Finance","Intermediate","Corporate Finance"
"FIN-300","Finance","Advanced","Introduction to Financial Markets"
"FIN-350","Finance","Advanced","Investment Analysis"
"FIN-410","Finance","Advanced","Advanced Corporate Finance"
"HRM-200","Human Resources","Intermediate","Human Resource Management"
"IB-400","International Business","Advanced","International Business Strategy"
"MKT-205","Marketing","Intermediate","Principles of Marketing"
"MKT-300","Marketing","Advanced","Consumer Behavior"
"MKT-310","Marketing","Advanced","Marketing Research"
"MTH-110","Mathematics","Introductory","Calculus I"
"MTH-215","Mathematics","Intermediate","Linear Algebra"
"MTH-300","Mathematics","Advanced","Differential Equations"
"PHY-101","Physics","Introductory","Classical Mechanics"
"PHY-220","Physics","Intermediate","Electromagnetism"
"PHY-300","Physics","Advanced","Introduction to Quantum Mechanics"
"STA-150","Statistics","Introductory","Introduction to Statistics"
